acid | 酸
alkoxide ion（＝RO-） | 烷氧离子
anaerobic process | 厌氧过程
ceramic wool soaked in ethanol | 陶瓷羊毛
cloves | 丁香
corresponding alcohol | 相应的醇
dehydration | 脱水
deterrent | 灭菌剂
enzyme | 酶
ethanoate | 醋酸盐
ethoxide ion | 乙氧基离子
fermentation | 发酵
foul taste | 恶臭
fruity odour | 水果香味
gentle heating | 微热
glucose | 葡萄糖
infrared spectrum | 红外光谱（分子只能吸收与其振动、转动频率相一致的红外线而形成特征光谱）
litmus paper | 石蕊试纸（检查酸碱性用）
metabolism | 新陈代谢
miscibility with water | 与水的互溶性
phenolphthanlein incicator | 酚酞指示剂
pore | 孔
porous ceramic surface | 多孔的陶瓷表面
primary alcohol | 伯醇
reverse reaction | 逆发应
secondary alcohol | 仲醇
simplified equation | 简化方程式
tertiary alcohol | 叔醇
wavenumber | 波数
yeast | 酵母菌
aerosol propellant | 气溶胶火箭燃料
anti-inflammatory medicine | 消炎药
aqueous ethanolic silver nitrate | 乙醇硝酸银溶液
blowing agent | 发泡剂
bromochlorodifluoromethane (BCF) | 溴氯二氟甲烷（灭火剂）
circuit board | 电路板
combustible materiall | 可燃物
degreasing agent | 除油剂
electrical insulation | 电绝缘材料
halogenoalkanes | 卤代烃
ibuprofen | 布洛芬，异丁苯丙酸（解热镇痛药）
ozone ‘hole’ | 臭氧层空洞
primary halogenoalkane | 伯卤代烃
rheumatoid arthritis | 类风湿关节炎
second halogenoalkane | 仲卤代烃
silver halide precipitate | 卤化银沉淀
stratosphere | 平流层
tertiary halogenoalkane | 叔卤代烃
the classification of halogenoalkanes | 卤代烃的分类
beaker | 烧杯
bond breaking | 断键
bond making | 成键
enthalpy change | 焓变
clamp | 夹
copper spiral | 铜圈
endothermic reaction | 吸热反应（体系从环境吸收热能，化学反应的焓变为正值）
energy transfer | 能量转移
enthalpy changes by different routes | 不同途径的焓变
enthalpy cycle | 焓循环、焓周期
exothermic reaction | 放热反应（体系放热给环境，化学反应的焓变为负值）
first law of thermodynamics | 热力学第一定律（本质是能量守恒定律）
flame calorimeter | 火焰量热计
graph extrapolated backwards to starting time | 反推到开始时间的曲线图
Haber process | 哈伯合成氨法
heat capacity | 热容（当一系统由于加给一微小的热量δQ 而温度升高δT 时，Δq/δT 这个量即是热容）
heating-insulated vessel | 隔热容器
Hess’ law | 赫斯定律（一个化学反应的热销应决定于其始终态，与中间过程无关）
joule | 焦耳〔能量和功的单位〕
law of conservation of energy | 能量守恒定律（在任一封闭系统中总能量保持不变）
metal calorimeter | 金属量热计
negative value(-) | 负值
pascal | 帕斯卡（压强单位）
perpetual motion | 永恒运动
polystyrene cup | 聚苯乙烯杯
positive value(+) | 正值
reaction pathway | 反应途径
release large quantities energy | 释放大量能量
screw | 螺旋桨
shield | 护板
specific heat capacity of water | 水的比热容
spectator ion | 旁观离子
standard enthalpy change of combustion | 标准摩尔燃烧焓
standard enthalpy change of formation | 标准摩尔生成焓
standard enthalpy change of reaction | 标准反应焓变（标准状态下反应的焓变）
standard enthalpy changes: standard conditions | 标准焓变：标准状态
stirrer | 搅拌器
suction pump | 真空泵，抽水机
vacuum flask | 真空烧瓶
wick | 灯芯
reaction rates | 反应速率
acidity | 酸性，酸度
adsorb | 吸附
aldehyde | 乙醛
at normal temperatures and pressures | 在常温常压下
basicity | 碱度；碱性
Bung | 塞
camphor | 樟脑
catalytic converter | 催化转化器
celluloid | 赛璐珞(明胶)
chemical analysis | 化学分析
chemical kinetics | 化学动力学
colorimeter | 色度计
colour intensity | 色度
concentration of reactants | 反应物浓度
constant random motion | 永恒的无规则运动
desorb | 解吸
entropy | 熵（热力学状态函数，用于量度系统无序度，等于吸收之热与吸热时绝对温度之商）
esterification | 酯化
exhaust gases | 排放气体
factors that affect the rate of a reaction | 影响反应速率的因素
gas syringe | 气体注射器
glass delivery tube | 玻璃导管
heterogeneous catalysis | 多相催化（催化剂与反应物处于不同相如在固体和流体相界面间发生催化作用）
homogeneous catalysis | 均相催化（催化剂与反应物在同相中反应）
intensity of the radiation | 照射的强度
inverted, water-filled burette | 倒置的装满水的量管
latitude | 纬度
low-energy collisions | 低能量碰撞
nitrocellulose | 硝化纤维素
nitroglycerine | 硝化甘油
oxyacetylene torch | 氧乙炔火炬
peroxyacetyl nitrate(PAN) | 硝酸过氧化乙酰
ppb | 十亿分之一（10－10）
ppm | 百万分之一（10－6）
pressure sensor | 压力感受器
rate determining step | 决定反应速率的步骤
removal | 去除
Ribena | 利宾纳饮料（维C，抗坏血的）
scanning probe microscopy(SPM) | 扫描显微探针
sealed container | 密闭容器
self-sustained | 自我维持
spectrophotometer | 分光光度计(根据样品对可见光分解为单色光后的透（反）射能量与波长的函数关系，可准确分析色度或比较两种波长的发光强度)
surface area | 表面积
temperature sensor | 温感器（能对温度变化作出反应）
the asymmetric shape of the curve | 曲线的不对称形状
the Boltzemann distribution | 玻耳兹曼分布（处于热平衡的气体中具有不同能级的分子数的几率）
the collision theory of reactivity | 碰撞理论（化学反应速率等于反应物分子间的碰撞数乘以有效碰撞因子）
Timer | 计时器
equilibra | 平衡
base | 碱
closed system | 封闭系统
constancy of macroscopic properties | 宏观性质的稳定性
cotton wool | 脱脂棉
dynamic equilibrium | 动态平衡（在一定条件下德可逆反应里，正反应和逆反应德速率相等，反应混合物中各组成成分德含量保持不变）
fertility | 肥(沃)度
forwards direction | 正方向
irreversible one-way reaction | 不可逆单向反应
keep the pressure constant | 保持恒压
Le Chatelier’s principle | 勒沙特列原理（如果改变影响平衡的一个条件如浓度、压强或温度等，平衡就向能够减弱这种改变的方向移动）
macroscopic properties | 宏观性质
nail varnish remover | 洗甲油
Ostwald process | 奥斯特瓦尔德法（制硝酸，采用高温铂网催化剂，将氨氧化为氧化氮，经水吸收成硝酸）
porous iron | 多孔的铁
reaction vessel | 反应容器
reverse direction | 反方向
reversible reaction | 可逆反应
strong acid | 强酸
the equilibrium shifts to minimize this increase | 平衡就向能够减弱这种改变的方向移动
weak acid | 弱酸
